Change,Name,Old Discipline,Old Line,New Discipline,New Line,Session Role,Also Appears In,Why
MOVE,Back Walkover,Inverted & Rotational Locomotion,Cartwheel Family,Inverted & Rotational Locomotion,Walkovers,,,walkovers are not cartwheels
MOVE,Backward Roll - Bar,Hanging & Pulling Above the Bar,Horizontal Pull,Straight Arm Strength,Straight Arm Rotation,,Ground Locomotion - Rolling Locomotion,straight-arm rotation through the shoulder - not a horizontal pull
MOVE,Balancing,Games,Stick Games,Hand Balancing & Inversion,Static Inversion,Game,,balance game
RENAME,Balancing Elimination,Games,Ball Games,Object Play,Ball Skills,Game,,line renamed
MOVE,Banded Chin Pull Down,Prehab & Rehab,Banded,Shoulder & Thoracic Mobility,Scapular Control,Prehab,,"scapular control - was in Prehab & Rehab > Banded, a line named after equipment"
MOVE,Banded Circles,Prehab & Rehab,Banded,Shoulder & Thoracic Mobility,Shoulder Rotation,Prehab,,shoulder rotation - same rehome; the dumbbell versions had nowhere to go at all
MOVE,Banded Dislocate,Prehab & Rehab,Banded,Shoulder & Thoracic Mobility,Shoulder Rotation,Prehab,,shoulder rotation - same rehome; the dumbbell versions had nowhere to go at all
MOVE,Banded External Rotation - Single Arm,Prehab & Rehab,Banded,Shoulder & Thoracic Mobility,Shoulder Rotation,Prehab,,shoulder rotation - same rehome; the dumbbell versions had nowhere to go at all
MOVE,Banded External Rotation Pull Apart,Prehab & Rehab,Banded,Shoulder & Thoracic Mobility,Shoulder Rotation,Prehab,,shoulder rotation - same rehome; the dumbbell versions had nowhere to go at all
MOVE,Banded Facepull,Prehab & Rehab,Banded,Shoulder & Thoracic Mobility,Scapular Control,Prehab,,"scapular control - was in Prehab & Rehab > Banded, a line named after equipment"
MOVE,Banded Frontal Raise,Prehab & Rehab,Banded,Shoulder & Thoracic Mobility,Scapular Control,Prehab,,"scapular control - was in Prehab & Rehab > Banded, a line named after equipment"
MOVE,Banded Internal Rotation - Single Arm,Prehab & Rehab,Banded,Shoulder & Thoracic Mobility,Shoulder Rotation,Prehab,,shoulder rotation - same rehome; the dumbbell versions had nowhere to go at all
MOVE,Banded Lateral Raise,Prehab & Rehab,Banded,Shoulder & Thoracic Mobility,Scapular Control,Prehab,,"scapular control - was in Prehab & Rehab > Banded, a line named after equipment"
MOVE,Banded Lower Trap Pull,Prehab & Rehab,Banded,Shoulder & Thoracic Mobility,Scapular Control,Prehab,,"scapular control - was in Prehab & Rehab > Banded, a line named after equipment"
MOVE,Banded Overhead Pull Apart,Prehab & Rehab,Banded,Shoulder & Thoracic Mobility,Scapular Control,Prehab,,"scapular control - was in Prehab & Rehab > Banded, a line named after equipment"
MOVE,Banded Pull Apart,Prehab & Rehab,Banded,Shoulder & Thoracic Mobility,Scapular Control,Prehab,,"scapular control - was in Prehab & Rehab > Banded, a line named after equipment"
MOVE,Banded Row,Prehab & Rehab,Banded,Shoulder & Thoracic Mobility,Scapular Control,Prehab,,"scapular control - was in Prehab & Rehab > Banded, a line named after equipment"
MOVE,Banded Shoulder Routine,Prehab & Rehab,Banded,Shoulder & Thoracic Mobility,Scapular Control,Prehab,,"scapular control - was in Prehab & Rehab > Banded, a line named after equipment"
MOVE,Banded Straight Arm Pull Down,Prehab & Rehab,Banded,Shoulder & Thoracic Mobility,Scapular Control,Prehab,,"scapular control - was in Prehab & Rehab > Banded, a line named after equipment"
MOVE,Banded Thoracic Rotations,Prehab & Rehab,Banded,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,Prehab,,chest / front-line opening - no such line existed
MOVE,Bar Kip,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Pull-to-Press Transition,,,"kipping and bar transitions belong with the other muscle-ups, not in strict Vertical Pull"
RENAME,Barrel Roll,"Rhythm, Flow & Expression",Acrobatics,Rhythm & Flow,Acrobatics,,,line renamed
MOVE,Behind the Back Supinated Raise,Prehab & Rehab,Banded,Shoulder & Thoracic Mobility,Scapular Control,Prehab,,"scapular control - was in Prehab & Rehab > Banded, a line named after equipment"
RENAME,Bent Over Row,Hanging & Pulling Above the Bar,Horizontal Pull,Hanging & Pulling,Horizontal Pull,,,line renamed
RENAME,Bent Over Row - Single Arm,Hanging & Pulling Above the Bar,Horizontal Pull,Hanging & Pulling,Horizontal Pull,,,line renamed
MOVE,Bicep Curl - Banded,Prehab & Rehab,Banded,Pressing Strength,Arms & Accessory,,,single-joint arm isolation
MOVE,Bicep Curl - Dumbbell,Hanging & Pulling Above the Bar,Horizontal Pull,Pressing Strength,Arms & Accessory,,,single-joint arm isolation - was padding out Horizontal Pull
MOVE,Bicep Curl - Rings,Hanging & Pulling Above the Bar,Horizontal Pull,Pressing Strength,Arms & Accessory,,,single-joint arm isolation - was padding out Horizontal Pull
MOVE,Bicep Curl - Rotational,Hanging & Pulling Above the Bar,Horizontal Pull,Pressing Strength,Arms & Accessory,,,single-joint arm isolation - was padding out Horizontal Pull
MOVE,Bo Staff Spinning,Games,Stick Games,Object Play,Staff,Game,,duplicate of the Staff line
RENAME,Bo-Staff - Around the World,Hand-Eye Coordination & Object Manipulation,Staff,Object Play,Staff,,,line renamed
RENAME,Bo-Staff - Around the World Release,Hand-Eye Coordination & Object Manipulation,Staff,Object Play,Staff,,,line renamed
RENAME,Bo-Staff - Backward Spin,Hand-Eye Coordination & Object Manipulation,Staff,Object Play,Staff,,,line renamed
RENAME,Bo-Staff - Behind the Back,Hand-Eye Coordination & Object Manipulation,Staff,Object Play,Staff,,,line renamed
RENAME,Bo-Staff - Butterfly Spin,Hand-Eye Coordination & Object Manipulation,Staff,Object Play,Staff,,,line renamed
RENAME,Bo-Staff - Endless Spin,Hand-Eye Coordination & Object Manipulation,Staff,Object Play,Staff,,,line renamed
RENAME,Bo-Staff - Endless Spin Release,Hand-Eye Coordination & Object Manipulation,Staff,Object Play,Staff,,,line renamed
RENAME,Bo-Staff - Forward Spin,Hand-Eye Coordination & Object Manipulation,Staff,Object Play,Staff,,,line renamed
RENAME,Bo-Staff - Forward to Backward,Hand-Eye Coordination & Object Manipulation,Staff,Object Play,Staff,,,line renamed
RENAME,Bo-Staff - Palm Spin,Hand-Eye Coordination & Object Manipulation,Staff,Object Play,Staff,,,line renamed
MOVE,Bouncing Elimination,Games,Ball Games,Object Play,Ball Skills,Game,,"ball skills are Object Play, not a category of their own"
MOVE,Bouncing and Shooting Basketball,Games,Ball Games,Object Play,Ball Skills,Game,,"ball skills are Object Play, not a category of their own"
RENAME,Box,Hand-Eye Coordination & Object Manipulation,Juggling,Object Play,Juggling,,,line renamed
MOVE,Box Jump,Bounciness & Elastic Power,Vertical Jump,Bounciness & Elastic Power,Vertical Jump,,,vertical jumping
MOVE,Brachiation,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Swinging & Brachiation,,,"swinging/travelling, not strict vertical pulling"
MOVE,Bridge Circle,Hand Balancing & Inversion,Bridge Work,Spinal Mobility,Spinal Extension & Bridging,,Rhythm & Flow - Acrobatics,bridges were split across three disciplines - consolidated here
MOVE,Bridge Circle - Half,Hand Balancing & Inversion,Bridge Work,Spinal Mobility,Spinal Extension & Bridging,,,bridges were split across three disciplines - consolidated here
MOVE,Bridge Hold,Foundational Resting Positions,,Spinal Mobility,Spinal Extension & Bridging,,,bridges were split across three disciplines - consolidated here
MOVE,Bridge Pulses,Foundational Resting Positions,,Spinal Mobility,Spinal Extension & Bridging,,,bridges were split across three disciplines - consolidated here
MOVE,Bridge Push Up,Pressing Strength,Bent-Arm to Straight-Arm Press,Spinal Mobility,Spinal Extension & Bridging,,Pressing Strength - Bent-Arm to Straight-Arm Press,bridges were split across three disciplines - consolidated here
MOVE,Butterfly,Foundational Resting Positions,,Hip & Leg Mobility,Middle Split Line,,,"abduction / middle-split work - had no Line, and Middle Split Line did not exist"
MOVE,Butterfly - Partner,Foundational Resting Positions,,Hip & Leg Mobility,Middle Split Line,,Partner & Connection - Team Work & Connection,"abduction / middle-split work - had no Line, and Middle Split Line did not exist"
MOVE,Butterfly - Weighted,Foundational Resting Positions,,Hip & Leg Mobility,Middle Split Line,,,"abduction / middle-split work - had no Line, and Middle Split Line did not exist"
RENAME,Butterfly Kick,"Rhythm, Flow & Expression",Kicks,Rhythm & Flow,Kicks,,,line renamed
MOVE,Butterfly Twist,"Rhythm, Flow & Expression",Floor Flow,Inverted & Rotational Locomotion,Flips & Handsprings,,Rhythm & Flow - Floor Flow,no-hands rotation
RENAME,Chin Up,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Vertical Pull,,,line renamed
RENAME,Chin Up - Archer,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Vertical Pull,,,line renamed
RENAME,Chin Up - Banded,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Vertical Pull,,,line renamed
RENAME,Chin Up - Hold,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Vertical Pull,,,line renamed
RENAME,Chin Up - Mixed Grip,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Vertical Pull,,,line renamed
RENAME,Chin Up - Negative,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Vertical Pull,,,line renamed
RENAME,Chin Up - One Arm,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Vertical Pull,,,line renamed
RENAME,Chin Up - Typewriter,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Vertical Pull,,,line renamed
RENAME,Chin Up - Weighted,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Vertical Pull,,,line renamed
RENAME,Circle Stick Game,Games,Stick Games,Object Play,Staff,Game,,line renamed
MOVE,Cobra Peel,Foundational Resting Positions,,Spinal Mobility,Spinal Extension & Bridging,,,bridges were split across three disciplines - consolidated here
RENAME,Coin,"Rhythm, Flow & Expression",Acrobatics,Rhythm & Flow,Acrobatics,,,line renamed
MOVE,Contact Improv,Games,Floor & Flow Games,Rhythm & Flow,Dance / Musical Movement,Game,,expressive / musical movement - fills a declared line that was empty
MOVE,Coordinations,Games,Floor & Flow Games,Rhythm & Flow,Dance / Musical Movement,Game,,expressive / musical movement - fills a declared line that was empty
MOVE,Copenhagen,Foundational Resting Positions,,Hip & Leg Mobility,Middle Split Line,,,"abduction / middle-split work - had no Line, and Middle Split Line did not exist"
MOVE,Cossack Squat,,,Loaded Lower Body Strength,Lateral / Mobility Squat,,,loaded squatting in the frontal plane
RENAME,Couch Stretch,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,,line renamed
RENAME,Couch Stretch - Arching,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,,line renamed
RENAME,Couch Stretch - Super,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,,line renamed
MOVE,Crawling Patterns with Partner,Ground Locomotion,Quadrupedal Forward,Ground Locomotion,Quadrupedal Forward,Game,,crawling patterns
RENAME,Crescent Kick - Inside,"Rhythm, Flow & Expression",Kicks,Rhythm & Flow,Kicks,,,line renamed
RENAME,Crescent Kick - Outside,"Rhythm, Flow & Expression",Kicks,Rhythm & Flow,Kicks,,,line renamed
RENAME,Crescent Kick - Pop,"Rhythm, Flow & Expression",Kicks,Rhythm & Flow,Kicks,,,line renamed
MOVE,Crow - Straight Arm,Hand Balancing & Inversion,Bent-Arm Balances,Hand Balancing & Inversion,Bent-Arm Balances,,,Straight Arm Balance held one exercise and its name collided with Straight-Arm Strength
MOVE,Cuban Rotation,Foundational Resting Positions,,Shoulder & Thoracic Mobility,Shoulder Rotation,Prehab,,shoulder rotation - same rehome; the dumbbell versions had nowhere to go at all
RENAME,Dancers Pose,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,,line renamed
RENAME,Dead Bug Game,Games,Team Work & Connection,Partner & Connection,Team Work & Connection,Game,,line renamed
MOVE,Diagonal Stretch,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Middle Split Line,,,"abduction / middle-split work - had no Line, and Middle Split Line did not exist"
RENAME,Drop Stick Game,Games,Stick Games,Object Play,Staff,Game,,line renamed
MOVE,Dumbell Flys,Foundational Resting Positions,,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,Prehab,,chest / front-line opening - no such line existed
MOVE,Dumbell Internal/External rotion,Foundational Resting Positions,,Shoulder & Thoracic Mobility,Shoulder Rotation,Prehab,,shoulder rotation - same rehome; the dumbbell versions had nowhere to go at all
MOVE,Dumbell Lower Trap Raise,Foundational Resting Positions,,Shoulder & Thoracic Mobility,Scapular Control,Prehab,,"scapular control - was in Prehab & Rehab > Banded, a line named after equipment"
RENAME,Eagle Hang,Hanging & Pulling Above the Bar,Passive / Active Hang,Hanging & Pulling,Passive / Active Hang,,,line renamed
RENAME,Eagle Hang - Half,Hanging & Pulling Above the Bar,Passive / Active Hang,Hanging & Pulling,Passive / Active Hang,,,line renamed
RENAME,Elephant Walk,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,,line renamed
RENAME,Elephant Walk - Slant Board,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,,line renamed
RENAME,Fish Flop,"Rhythm, Flow & Expression",Floor Flow,Rhythm & Flow,Floor Flow,,,line renamed
RENAME,Fish Flop - Single Leg,"Rhythm, Flow & Expression",Floor Flow,Rhythm & Flow,Floor Flow,,,line renamed
RENAME,Flip the Croc,Games,Rough Housing,Partner & Connection,Rough Housing,Game,,line renamed
RENAME,Float - Backside,"Rhythm, Flow & Expression",Floor Flow,Rhythm & Flow,Floor Flow,,,line renamed
RENAME,Float - Frontside,"Rhythm, Flow & Expression",Floor Flow,Rhythm & Flow,Floor Flow,,,line renamed
MOVE,Foam Roller Opener - Dumbbell,Foundational Resting Positions,,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,,,chest / front-line opening - no such line existed
MOVE,Foam Roller Opener - Stall Bars,Foundational Resting Positions,,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,,,chest / front-line opening - no such line existed
RENAME,"Foot Taps, Handslaps",Games,Rough Housing,Partner & Connection,Rough Housing,Game,,line renamed
RENAME,Forward Fold Pulses,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,,line renamed
MOVE,Forward Roll - Bar,Hanging & Pulling Above the Bar,Horizontal Pull,Straight Arm Strength,Straight Arm Rotation,,Ground Locomotion - Rolling Locomotion,straight-arm rotation through the shoulder - not a horizontal pull
MOVE,Frog - Internal Lifts,Foundational Resting Positions,,Hip & Leg Mobility,Middle Split Line,,,"abduction / middle-split work - had no Line, and Middle Split Line did not exist"
MOVE,Frog Stretch,Foundational Resting Positions,,Hip & Leg Mobility,Middle Split Line,,,"abduction / middle-split work - had no Line, and Middle Split Line did not exist"
MOVE,Front Lever,Hanging & Pulling Above the Bar,Horizontal Pull,Straight Arm Strength,Front Lever Line,,,front lever family - the declared Front Lever Line was empty while these sat in Horizontal Pull
MOVE,Front Lever - Deadlift,Hanging & Pulling Above the Bar,Horizontal Pull,Straight Arm Strength,Front Lever Line,,,front lever family - the declared Front Lever Line was empty while these sat in Horizontal Pull
MOVE,Front Lever - Straddle,Hanging & Pulling Above the Bar,Horizontal Pull,Straight Arm Strength,Front Lever Line,,,front lever family - the declared Front Lever Line was empty while these sat in Horizontal Pull
MOVE,Front Lever - Tuck,Hanging & Pulling Above the Bar,Horizontal Pull,Straight Arm Strength,Front Lever Line,,,front lever family - the declared Front Lever Line was empty while these sat in Horizontal Pull
MOVE,Front Lever Pull,Hanging & Pulling Above the Bar,Horizontal Pull,Straight Arm Strength,Front Lever Line,,,front lever family - the declared Front Lever Line was empty while these sat in Horizontal Pull
MOVE,Front Lever Pull - Straddle,Hanging & Pulling Above the Bar,Horizontal Pull,Straight Arm Strength,Front Lever Line,,,front lever family - the declared Front Lever Line was empty while these sat in Horizontal Pull
MOVE,Front Lever Pull - Tuck,Hanging & Pulling Above the Bar,Horizontal Pull,Straight Arm Strength,Front Lever Line,,,front lever family - the declared Front Lever Line was empty while these sat in Horizontal Pull
RENAME,Front Splits,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,,line renamed
RENAME,Front Splits - Active,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,,line renamed
RENAME,Front Splits - Knee Lift Contract and Relax,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,,line renamed
RENAME,Front Splits - Sliders,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,,line renamed
MOVE,Front Walkover,Inverted & Rotational Locomotion,Cartwheel Family,Inverted & Rotational Locomotion,Walkovers,,,walkovers are not cartwheels
RENAME,Gainer,"Rhythm, Flow & Expression",Acrobatics,Rhythm & Flow,Acrobatics,,,line renamed
MOVE,Game of Soccer,Games,Ball Games,Object Play,Ball Skills,Game,,"ball skills are Object Play, not a category of their own"
MOVE,Gather Step Jump,Bounciness & Elastic Power,Vertical Jump,Bounciness & Elastic Power,Horizontal Jump,,,travelling jump
MOVE,German Hang,Pressing Strength,Horizontal Press,Straight Arm Strength,Back Lever Line,,,"straight-arm pulling holds, currently under Pressing Strength > Horizontal Press"
MOVE,German Hang - Assisted,Pressing Strength,Horizontal Press,Straight Arm Strength,Back Lever Line,,,"straight-arm pulling holds, currently under Pressing Strength > Horizontal Press"
MOVE,Glide Kip,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Pull-to-Press Transition,,,"kipping and bar transitions belong with the other muscle-ups, not in strict Vertical Pull"
MOVE,Good Morning,Foundational Resting Positions,Hip Opening (frontal),Loaded Lower Body Strength,Hip Hinge,,,loaded hip hinge - Kettlebell Swing was filed under Planche Line; the rest sat in hip mobility
MOVE,Good Morning - Single Leg,Foundational Resting Positions,Hip Opening (frontal),Loaded Lower Body Strength,Hip Hinge,,,loaded hip hinge - Kettlebell Swing was filed under Planche Line; the rest sat in hip mobility
MOVE,Good Morning - Wide Leg,Foundational Resting Positions,Hip Opening (frontal),Loaded Lower Body Strength,Hip Hinge,,,loaded hip hinge - Kettlebell Swing was filed under Planche Line; the rest sat in hip mobility
RENAME,Grappling,Games,Rough Housing,Partner & Connection,Rough Housing,Game,,line renamed
MOVE,Gumby,Inverted & Rotational Locomotion,Cartwheel Family,Inverted & Rotational Locomotion,Walkovers,,,walkovers are not cartwheels
MOVE,Hammer Curl,Hanging & Pulling Above the Bar,Horizontal Pull,Pressing Strength,Arms & Accessory,,,single-joint arm isolation - was padding out Horizontal Pull
RENAME,Handspin,"Rhythm, Flow & Expression",Acrobatics,Rhythm & Flow,Acrobatics,,,line renamed
RENAME,Hang - Hollow Body,Hanging & Pulling Above the Bar,Passive / Active Hang,Hanging & Pulling,Passive / Active Hang,,,line renamed
RENAME,Hang - One Arm,Hanging & Pulling Above the Bar,Passive / Active Hang,Hanging & Pulling,Passive / Active Hang,,,line renamed
RENAME,Hanging L-Sit,Lever & Straight-Arm Body Control,Core,Core & Midline,Hanging Core & Compression,,,line renamed
RENAME,Hanging Leg Raise,Lever & Straight-Arm Body Control,Core,Core & Midline,Hanging Core & Compression,,,line renamed
RENAME,Hanging Leg Raise - One Arm,Lever & Straight-Arm Body Control,Core,Core & Midline,Hanging Core & Compression,,,line renamed
RENAME,Hanging Leg Raise - Straddle,Lever & Straight-Arm Body Control,Core,Core & Midline,Hanging Core & Compression,,,line renamed
RENAME,Hanging Leg Raise - Tuck,Lever & Straight-Arm Body Control,Core,Core & Midline,Hanging Core & Compression,,,line renamed
RENAME,Hanging Zen Archer,Games,Stick Games,Object Play,Staff,Game,Hanging & Pulling - Passive / Active Hang,line renamed
MOVE,Head Shoulders Knees Toes Ball,Games,Ball Games,Object Play,Ball Skills,Game,,"ball skills are Object Play, not a category of their own"
RENAME,Heavy Hip Flexor Stretch,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,,line renamed
RENAME,Helicopter,"Rhythm, Flow & Expression",Floor Flow,Rhythm & Flow,Floor Flow,,,line renamed
RENAME,Helicóptero,"Rhythm, Flow & Expression",Acrobatics,Rhythm & Flow,Acrobatics,,,line renamed
MOVE,High Jump,Bounciness & Elastic Power,Vertical Jump,Bounciness & Elastic Power,Vertical Jump,,,vertical jumping
MOVE,Hinge Pick Ups,Foundational Resting Positions,Stance Positions,Loaded Lower Body Strength,Hip Hinge,,,loaded hip hinge - Kettlebell Swing was filed under Planche Line; the rest sat in hip mobility
RENAME,Hook Kick,"Rhythm, Flow & Expression",Kicks,Rhythm & Flow,Kicks,,,line renamed
MOVE,Horse Stance,Foundational Resting Positions,,Hip & Leg Mobility,Stance Positions,,,stance positions
MOVE,Horse Stance - Squats,Foundational Resting Positions,,Loaded Lower Body Strength,Lateral / Mobility Squat,,Hip & Leg Mobility - Stance Positions,loaded squatting in the frontal plane
RENAME,Human Flag,Lever & Straight-Arm Body Control,Side Lever Line,Straight Arm Strength,Side Lever Line,,,line renamed
RENAME,Human Flag - Angled,Lever & Straight-Arm Body Control,Side Lever Line,Straight Arm Strength,Side Lever Line,,,line renamed
RENAME,Human Flag - Feet Assisted,Lever & Straight-Arm Body Control,Side Lever Line,Straight Arm Strength,Side Lever Line,,,line renamed
RENAME,Human Flag - Feet Assisted Straddle,Lever & Straight-Arm Body Control,Side Lever Line,Straight Arm Strength,Side Lever Line,,,line renamed
RENAME,Human Flag - Kick Up,Lever & Straight-Arm Body Control,Side Lever Line,Straight Arm Strength,Side Lever Line,,,line renamed
RENAME,Human Flag - Limp,Lever & Straight-Arm Body Control,Side Lever Line,Straight Arm Strength,Side Lever Line,,,line renamed
RENAME,Human Flag - Negative,Lever & Straight-Arm Body Control,Side Lever Line,Straight Arm Strength,Side Lever Line,,,line renamed
RENAME,Human Flag - Straddle,Lever & Straight-Arm Body Control,Side Lever Line,Straight Arm Strength,Side Lever Line,,,line renamed
MOVE,Hurdler Stretch,Foundational Resting Positions,,Hip & Leg Mobility,Front Split Line,,,sagittal / front-split work
MOVE,Ice Cream Maker,Hanging & Pulling Above the Bar,Horizontal Pull,Straight Arm Strength,Front Lever Line,,,front lever family - the declared Front Lever Line was empty while these sat in Horizontal Pull
RENAME,Infinity Ring Pull,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Vertical Pull,,,line renamed
RENAME,Inverted Hang - Rings,Hanging & Pulling Above the Bar,Passive / Active Hang,Hanging & Pulling,Passive / Active Hang,,Straight Arm Strength - Straight Arm Rotation,line renamed
MOVE,Jefferson Curl,Foundational Resting Positions,Hip Opening (frontal),Loaded Lower Body Strength,Hip Hinge,,,loaded hip hinge - Kettlebell Swing was filed under Planche Line; the rest sat in hip mobility
MOVE,Jefferson Curl - Wide Leg,Foundational Resting Positions,Hip Opening (frontal),Loaded Lower Body Strength,Hip Hinge,,,loaded hip hinge - Kettlebell Swing was filed under Planche Line; the rest sat in hip mobility
MOVE,Jefferson Curl - to Squat,Foundational Resting Positions,Hip Opening (frontal),Loaded Lower Body Strength,Hip Hinge,,,loaded hip hinge - Kettlebell Swing was filed under Planche Line; the rest sat in hip mobility
RENAME,Jenga Blocks,Games,Floor & Flow Games,Partner & Connection,Floor & Flow Games,Game,,line renamed
MOVE,Juggling,Games,Ball Games,Object Play,Juggling,Game,,was filed under Games > Ball Games alongside the real Juggling line
MOVE,Kettlebell ATW to Lunge,Core & Midline,Rotational & Loaded Core,Core & Midline,Rotational & Loaded Core,,,"loaded rotation - had no Discipline or Line at all, and no line in the library fitted"
MOVE,Kettlebell Around the World,Core & Midline,Rotational & Loaded Core,Core & Midline,Rotational & Loaded Core,,,"loaded rotation - had no Discipline or Line at all, and no line in the library fitted"
MOVE,Kettlebell Halo,Core & Midline,Rotational & Loaded Core,Core & Midline,Rotational & Loaded Core,,,"loaded rotation - had no Discipline or Line at all, and no line in the library fitted"
MOVE,Kettlebell Swing,Lever & Straight-Arm Body Control,Planche Line,Loaded Lower Body Strength,Hip Hinge,,,loaded hip hinge - Kettlebell Swing was filed under Planche Line; the rest sat in hip mobility
